index,Xwidth,Xcumsum,Yval,Xcumsumleft,Macro grouping,Stage subgrouped
112,4.545358676,1184.676737,180143.8806,1180.131379,Liver transplant,Liver Transplant
113,0.538904632,1185.215642,180116.9633,1184.676737,Liver transplant,Liver Transplant
114,0.601243722,1185.816886,179886.7031,1185.215642,Liver transplant,Liver Transplant
115,4.260137787,1190.077024,179875.0798,1185.816886,Liver transplant,Liver Transplant
116,0.153439943,1190.230464,179867.7783,1190.077024,Liver transplant,Liver Transplant
117,2.143230102,1192.373694,179858.5235,1190.230464,Liver transplant,Liver Transplant
118,0.008550161,1192.382244,179555.4291,1192.373694,Liver transplant,Liver Transplant
119,0.00132184,1192.383566,179551.6838,1192.382244,Liver transplant,Liver Transplant
120,0.000459975,1192.384026,179545.1764,1192.383566,Liver transplant,Liver Transplant
121,0.002294807,1192.38632,179388.7112,1192.384026,Liver transplant,Liver Transplant
122,0.000512627,1192.386833,179383.1795,1192.38632,Liver transplant,Liver Transplant
123,0.000206402,1192.387039,179378.7708,1192.386833,Liver transplant,Liver Transplant
124,0.030464189,1192.417504,179262.3512,1192.387039,Liver transplant,Liver Transplant
125,0.008503947,1192.426008,179070.1941,1192.417504,Liver transplant,Liver Transplant
126,8.78294E-05,1192.426095,178879.3656,1192.426008,Liver transplant,Liver Transplant - Tx
127,8.78294E-05,1192.426183,178879.3656,1192.426095,Liver transplant,Liver Transplant - Tx
128,0.00011782,1192.426301,178871.8202,1192.426183,Liver transplant,Liver Transplant - Tx
129,0.00011782,1192.426419,178871.8202,1192.426301,Liver transplant,Liver Transplant - Tx
130,0.000223993,1192.426643,178840.5026,1192.426419,Liver transplant,Liver Transplant - Tx
131,0.000223993,1192.426867,178840.5026,1192.426643,Liver transplant,Liver Transplant - Tx
132,0.001230539,1192.428097,178797.341,1192.426867,Liver transplant,Liver Transplant - Tx
133,0.001230539,1192.429328,178797.341,1192.428097,Liver transplant,Liver Transplant - Tx
134,0.100510985,1192.529839,178589.7123,1192.429328,Liver transplant,Liver Transplant
135,0.02592404,1192.555763,178351.9747,1192.529839,Liver transplant,Liver Transplant
136,0.007844476,1192.563607,177936.8212,1192.555763,Liver transplant,Liver Transplant - Tx
137,0.014166603,1192.577774,177881.1582,1192.563607,Liver transplant,Liver Transplant - Tx
138,0.014166603,1192.591941,177881.1582,1192.577774,Liver transplant,Liver Transplant - Tx
139,1.293097798,1193.885038,176752.1129,1192.591941,Liver transplant,Liver Transplant
140,0.682879526,1194.567918,176683.5033,1193.885038,Liver transplant,Liver Transplant
141,0.030809939,1194.598728,176310.1488,1194.567918,Liver transplant,Liver Transplant - Tx
142,0.000842834,1194.599571,176303.9168,1194.598728,Liver transplant,Liver Transplant
143,0.00029405,1194.599865,176263.9443,1194.599571,Liver transplant,Liver Transplant
144,0.002653848,1194.602519,175536.4192,1194.599865,Liver transplant,Liver Transplant - Tx
145,0.009584143,1194.612103,174640.228,1194.602519,Liver transplant,Liver Transplant - Tx
146,6.51975E-05,1194.612168,174269.1564,1194.612103,Liver transplant,Liver Transplant - Tx
147,0.000161936,1194.61233,174253.1816,1194.612168,Liver transplant,Liver Transplant - Tx
148,0.00072499,1194.613055,174230.3864,1194.61233,Liver transplant,Liver Transplant - Tx
149,0.000183734,1194.613239,174214.2304,1194.613055,Liver transplant,Liver Transplant - Tx
150,6.31872E-05,1194.613302,173759.8545,1194.613239,Liver transplant,Liver Transplant - Tx
151,0.064545471,1194.677847,173678.249,1194.613302,Liver transplant,Liver Transplant - Tx
152,0.000146346,1194.677994,173469.989,1194.677847,Liver transplant,Liver Transplant - Tx
153,0.000420544,1194.678414,173463.0862,1194.677994,Liver transplant,Liver Transplant - Tx
154,0.002720338,1194.681135,173452.8626,1194.678414,Liver transplant,Liver Transplant - Tx
155,0.001947913,1194.683082,172655.0425,1194.681135,Liver transplant,Liver Transplant - Tx
156,1.83989705,1196.52298,172364.2652,1194.683082,Liver transplant,Liver Transplant
157,1.316262403,1197.839242,172071.9776,1196.52298,Liver transplant,Liver Transplant
